PlayervsPlayer;Round0;Round1;Round2;Round3;Round4;Round5;Round6;Round7;Round8;Round9;Round10;Round11;Round12;Round13;Round14;Round15;Round16;Round17;Round18;Round19;Round20;Round21;Round22;Round23;Round24;Round25;Round26;Round27;Round28;Round29;Round30;Round31;Round32;Round33;Round34;Round35;Round36;Round37;Round38;Round39;Round40;Round41;Round42;Round43;Round44;Round45;Round46;Round47;Round48;Round49;Round50;Round51;Round52;Round53;Round54;Round55;Round56;Round57;Round58;Round59;Round60;Round61;Round62;Round63;Round64;Round65;Round66;Round67;Round68;Round69;Round70;Round71;Round72;Round73;Round74;Round75;Round76;Round77;Round78;Round79;Round80;Round81;Round82;Round83;Round84;Round85;Round86;Round87;Round88;Round89;Round90;Round91;Round92;Round93;Round94;Round95;Round96;Round97;Round98;Round99
0vs1;998;1068;1138;1136;1134;1156;1178;1200;1222;1268;1266;1288;1262;1236;1258;1256;1302;1252;1226;1248;1198;1196;1170;1120;1094;1068;1066;1088;1182;1180;1154;1104;1150;1076;1026;1000;1022;1044;1066;1040;1110;1060;1034;1056;1102;1028;1026;1000;950;948;994;992;942;916;914;888;910;932;930;880;854;756;802;776;822;796;722;744;718;716;642;592;590;612;634;656;678;700;650;600;622;644;618;568;590;612;610;608;630;676;698;744;670;692;738;712;662;636;658;704
0vs2;998;996;994;968;942;844;866;840;742;764;786;736;758;708;730;752;726;700;770;744;718;764;762;736;710;660;610;608;630;652;626;624;622;620;594;592;638;660;682;680;678;676;674;672;622;668;642;664;638;612;586;632;582;604;554;552;526;548;546;592;590;588;586;608;558;556;530;504;574;548;498;472;446;420;466;440;366;364;386;384;406;380;354;400;422;396;442;440;414;436;554;528;502;596;618;688;686;708;730;728
0vs3;998;1044;1114;1112;1134;1132;1130;1128;1150;1244;1194;1192;1166;1188;1138;1136;1158;1132;1178;1200;1174;1196;1194;1216;1262;1284;1258;1280;1278;1300;1298;1296;1294;1364;1338;1384;1382;1404;1354;1400;1326;1300;1298;1296;1318;1316;1314;1336;1382;1404;1426;1400;1422;1420;1442;1464;1510;1556;1578;1600;1574;1596;1594;1640;1638;1660;1730;1728;1702;1724;1770;1792;1790;1812;1810;1760;1758;1804;1850;1920;1918;1964;1962;1936;1886;1884;1906;1808;1782;1732;1658;1680;1678;1628;1626;1600;1598;1620;1570;1568
0vs4;998;924;922;920;918;940;890;960;982;1052;1074;1096;1118;1140;1066;1088;1062;1060;1058;1008;982;1004;1002;1072;1070;1020;1018;968;990;988;962;936;910;956;978;976;926;948;970;944;942;940;938;936;958;956;954;904;950;924;922;896;918;940;914;912;958;980;978;1024;1046;1068;1042;1016;1062;1084;1130;1152;1102;1076;1050;1024;1046;1020;1018;1064;1110;1132;1082;1152;1150;1172;1170;1216;1238;1260;1282;1352;1374;1348;1346;1320;1270;1292;1362;1432;1454;1404;1402;1400
0vs5;998;996;946;920;918;916;914;888;862;884;930;952;974;996;1042;1064;1038;1036;1082;1104;1150;1100;1074;1096;1094;1140;1090;1112;1134;1180;1178;1200;1126;1148;1122;1120;1094;1092;1042;1016;1038;1012;962;984;1006;1004;1050;1072;1046;1020;994;968;1014;940;938;912;958;980;954;904;950;996;994;920;918;892;914;960;982;980;1026;1048;1046;1068;1066;1064;1086;1084;1082;1080;1078;1052;1026;1048;1070;1068;994;968;942;892;938;888;934;956;954;976;998;996;994;1016
0vs6;998;948;946;992;942;988;986;1008;1030;980;1002;1000;998;1068;1066;1136;1134;1108;1034;1032;1030;1052;1026;1048;1022;1044;1114;1136;1182;1156;1178;1200;1198;1196;1170;1240;1190;1188;1186;1256;1278;1324;1394;1368;1318;1364;1386;1360;1334;1356;1378;1352;1302;1276;1274;1224;1222;1196;1266;1264;1238;1260;1258;1256;1206;1156;1178;1224;1222;1196;1266;1240;1262;1260;1210;1184;1182;1132;1106;1128;1150;1148;1242;1216;1214;1212;1186;1208;1254;1300;1298;1320;1342;1268;1266;1216;1238;1308;1258;1256
0vs7;998;948;922;920;894;892;914;864;886;836;810;808;782;804;778;752;750;820;842;840;886;908;930;928;878;876;922;872;846;892;938;912;934;908;930;880;902;852;802;776;774;820;794;744;718;644;690;736;710;756;730;824;894;940;1010;1008;958;932;930;952;950;924;898;896;942;916;890;888;910;956;978;1048;1046;1020;1066;1112;1086;1084;1058;1032;958;980;954;952;950;972;994;1016;990;1012;1010;984;982;1004;930;904;902;924;898;920
0vs8;998;996;946;968;1038;1060;1082;1080;1006;980;1002;1000;926;924;946;944;942;988;938;936;1006;956;978;952;998;996;994;992;942;892;890;888;934;932;978;976;1046;996;1042;992;990;964;938;1032;1054;1124;1098;1096;1190;1236;1258;1256;1206;1204;1154;1224;1150;1172;1146;1120;1118;1068;1114;1160;1230;1228;1250;1200;1246;1268;1242;1240;1190;1188;1138;1064;1062;1012;1082;1080;1054;1004;1002;976;950;948;994;1016;1062;1036;986;1008;1054;1028;1002;976;974;972;1018;992
0vs9;998;1044;1042;1040;1062;1084;1034;1032;1126;1052;1002;976;1046;996;1018;944;942;940;914;936;910;884;906;880;926;948;946;944;870;796;818;864;862;836;906;880;854;852;874;896;894;916;1010;960;958;956;906;904;878;852;826;776;822;868;890;912;910;836;810;808;806;876;874;896;846;916;914;864;862;860;858;856;902;900;874;920;942;940;938;888;934;908;930;976;974;948;898;920;942;940;914;912;958;932;906;928;902;852;874;848
1vs2;986;1008;982;980;930;832;878;828;730;776;774;748;746;696;718;740;738;712;758;756;730;752;774;724;722;672;598;596;642;664;614;636;634;632;606;604;626;648;694;668;690;688;662;660;634;656;630;676;626;600;598;620;594;592;542;540;538;536;534;604;602;576;598;596;570;568;518;516;562;560;510;484;434;408;454;428;354;376;398;372;394;368;366;388;410;408;430;428;426;448;566;540;514;608;630;700;674;696;718;740
1vs3;986;1032;1126;1100;1122;1144;1118;1116;1162;1232;1182;1180;1178;1176;1150;1124;1146;1144;1166;1188;1186;1184;1206;1228;1274;1272;1270;1268;1290;1288;1310;1284;1306;1376;1350;1372;1394;1392;1366;1412;1338;1312;1310;1308;1330;1328;1326;1348;1394;1392;1438;1412;1434;1432;1454;1476;1498;1544;1590;1588;1586;1584;1606;1652;1626;1672;1742;1716;1714;1736;1782;1804;1802;1824;1798;1748;1770;1816;1838;1908;1930;1952;1974;1924;1898;1896;1894;1796;1770;1720;1646;1668;1666;1616;1614;1612;1610;1608;1558;1580
1vs4;986;912;910;908;906;928;902;948;994;1064;1062;1108;1130;1128;1078;1076;1074;1072;1046;1020;994;1016;1014;1084;1058;1008;1006;956;978;1000;974;924;922;968;966;964;914;936;982;932;954;928;950;924;970;944;942;916;962;912;910;908;930;928;926;900;970;992;990;1036;1058;1056;1030;1028;1050;1096;1118;1164;1114;1088;1062;1036;1034;1008;1006;1076;1122;1120;1094;1164;1162;1184;1158;1204;1250;1248;1294;1364;1362;1360;1358;1332;1282;1304;1374;1420;1442;1392;1414;1388
1vs5;986;984;934;932;930;904;926;900;874;896;942;964;962;1008;1030;1052;1026;1048;1094;1116;1138;1112;1086;1108;1106;1128;1078;1100;1146;1192;1190;1188;1138;1136;1134;1108;1106;1104;1030;1004;1050;1000;950;996;1018;1016;1062;1060;1034;1032;982;980;1026;952;950;924;970;968;966;916;962;984;982;908;906;904;902;972;994;992;1038;1036;1058;1080;1078;1052;1074;1096;1094;1068;1090;1040;1038;1060;1058;1056;1006;956;930;904;926;900;922;944;942;988;1010;984;982;1004
1vs6;986;936;958;980;930;1000;974;1020;1018;992;1014;988;1010;1056;1078;1148;1146;1096;1046;1044;1042;1064;1038;1036;1010;1056;1126;1124;1170;1168;1166;1188;1186;1208;1182;1228;1178;1176;1198;1244;1290;1336;1382;1356;1330;1352;1398;1348;1322;1344;1366;1364;1314;1288;1262;1212;1210;1208;1278;1252;1250;1248;1270;1244;1218;1168;1190;1236;1210;1208;1254;1252;1274;1248;1222;1172;1170;1144;1118;1116;1138;1160;1254;1228;1226;1200;1198;1220;1242;1288;1286;1332;1330;1256;1278;1228;1250;1320;1246;1244
1vs7;986;936;934;908;882;904;902;852;874;824;822;820;794;792;766;740;762;808;854;852;874;920;918;916;866;888;910;860;858;904;950;924;946;920;942;868;890;840;790;764;762;808;782;732;706;656;702;748;722;744;742;836;882;952;998;996;946;944;942;940;962;912;910;884;954;928;902;900;922;968;990;1060;1034;1032;1078;1124;1074;1072;1046;1020;946;992;966;940;938;984;1006;1028;978;1024;998;996;994;992;942;916;914;912;886;932
